entity,type,count,num_sources,num_contexts,source_diversity
Trump,PERSON,248,166,248,0.6693548387096774
US,GSP,115,74,115,0.6434782608695652
India,GPE,66,33,66,0.5
FBI,ORGANIZATION,56,47,56,0.8392857142857143
China,GPE,54,37,54,0.6851851851851852
Pakistan,GPE,48,29,48,0.6041666666666666
Myanmar,PERSON,45,36,45,0.8
Canada,GPE,38,22,38,0.5789473684210527
Donald Trump,ORG,37,30,37,0.8108108108108109
Top Chef,ORG,37,22,37,0.5945945945945946
Pahalgam,GPE,36,20,36,0.5555555555555556
Abrego,GPE,35,32,35,0.9142857142857143
Tahawwur Rana,PERSON,34,18,34,0.5294117647058824
Wisconsin,GPE,33,26,33,0.7878787878787878
FREE,ORGANIZATION,32,2,32,0.0625
Supreme Court,ORGANIZATION,31,29,31,0.9354838709677419
Chinese,GPE,30,20,30,0.6666666666666666
New,GPE,30,28,30,0.9333333333333333
Israel,GPE,29,19,29,0.6551724137931034
Legislation,GPE,27,2,27,0.07407407407407407
Indian,GPE,27,19,27,0.7037037037037037
Meta,GPE,26,26,26,1.0
Congress,ORGANIZATION,25,13,25,0.52
Delhi,GPE,25,14,25,0.56
French,GPE,25,18,25,0.72
South Korea,GPE,25,17,25,0.68
Russian,GPE,24,14,24,0.5833333333333334
Tahawwur,PERSON,23,14,23,0.6086956521739131
NIA,ORGANIZATION,23,17,23,0.7391304347826086
Canadian,GPE,23,17,23,0.7391304347826086
House,ORGANIZATION,23,13,23,0.5652173913043478
Carney,PERSON,22,15,22,0.6818181818181818
Health,PERSON,22,4,22,0.18181818181818182
Punjab,GPE,22,16,22,0.7272727272727273
Amazon Spring Sale,PERSON,21,1,21,0.047619047619047616
North,GPE,21,18,21,0.8571428571428571
Rana,ORGANIZATION,20,12,20,0.6
Senate,ORGANIZATION,20,13,20,0.65
Texas,GPE,19,13,19,0.6842105263157895
BJP,ORGANIZATION,19,9,19,0.47368421052631576
ICE,ORGANIZATION,19,15,19,0.7894736842105263
Shin Bet,PERSON,18,13,18,0.7222222222222222
Guide Michelin,ORG,18,14,18,0.7777777777777778
WhatsApp,ORGANIZATION,18,18,18,1.0
Science,GPE,18,14,18,0.7777777777777778
Mark Carney,ORG,18,16,18,0.8888888888888888
Abrego Garcia,PERSON,18,18,18,1.0
Medical,GPE,18,12,18,0.6666666666666666
New York,ORG,18,16,18,0.8888888888888888
Milwaukee,GPE,17,10,17,0.5882352941176471
Hannah Dugan,ORG,17,14,17,0.8235294117647058
Parenthood,ORGANIZATION,17,17,17,1.0
Education,GPE,17,17,17,1.0
Russia,GPE,17,10,17,0.5882352941176471
Medicaid,ORGANIZATION,17,17,17,1.0
Marine Le Pen,ORG,17,15,17,0.8823529411764706
Gaza,ORGANIZATION,17,15,17,0.8823529411764706
Harvey Weinstein,ORG,15,14,15,0.9333333333333333
Syria,GSP,15,15,15,1.0
Japan,GPE,15,13,15,0.8666666666666667
Mahmoud Khalil,PERSON,15,11,15,0.7333333333333333
Israeli,GPE,14,13,14,0.9285714285714286
Vietnam,PERSON,14,12,14,0.8571428571428571
South,GPE,14,9,14,0.6428571428571429
Michigan,ORGANIZATION,14,13,14,0.9285714285714286
Florida,GPE,13,10,13,0.7692307692307693
Death,PERSON,13,13,13,1.0
Nigerian,GPE,13,7,13,0.5384615384615384
National,ORGANIZATION,13,10,13,0.7692307692307693
Anti,PERSON,12,12,12,1.0
La Chine,ORG,12,9,12,0.75
American,GPE,12,12,12,1.0
Navy,ORGANIZATION,12,9,12,0.75
DEI,ORGANIZATION,12,8,12,0.6666666666666666
Lagos,GPE,12,7,12,0.5833333333333334
County,ORGANIZATION,12,11,12,0.9166666666666666
Toll,ORGANIZATION,11,11,11,1.0
Korean,GPE,11,10,11,0.9090909090909091
Opinion,GPE,11,7,11,0.6363636363636364
Maine,PERSON,11,9,11,0.8181818181818182
Magnitude Earthquake,PERSON,11,11,11,1.0
Daniel Noboa,ORG,11,10,11,0.9090909090909091
Netanyahu,PERSON,10,9,10,0.9
EU,GPE,10,9,10,0.9
Singh,PERSON,10,9,10,0.9
Nigeria,GPE,10,6,10,0.6
Sciences Po,ORG,10,6,10,0.6
ITVBe,ORGANIZATION,10,1,10,0.1
Election,GPE,10,9,10,0.9
Mumbai,GPE,10,7,10,0.7
Karen Read,PERSON,10,7,10,0.7
Education Department,ORGANIZATION,10,7,10,0.7
Africa,GPE,10,5,10,0.5
Botched,GPE,10,1,10,0.1
Winnipeg Free,PERSON,9,1,9,0.1111111111111111
Organ,GPE,9,9,9,1.0
Arrest,PERSON,9,9,9,1.0
Nicolas Sarkozy,ORG,9,8,9,0.8888888888888888
Abbott,GPE,9,6,9,0.6666666666666666
Maritime,PERSON,9,7,9,0.7777777777777778
NIH,ORGANIZATION,9,9,9,1.0
CAMEROON News,ORG,9,1,9,0.1111111111111111
Australia,GPE,9,7,9,0.7777777777777778
Elon Musk,ORG,9,8,9,0.8888888888888888
Charles Sandringham,PERSON,9,9,9,1.0
Emmanuel Macron,ORG,9,9,9,1.0
Poilievre,GPE,9,8,9,0.8888888888888888
Sciences Po Strasbourg,ORG,9,8,9,0.8888888888888888
City,GPE,9,9,9,1.0
Joseph Kabila,ORG,9,7,9,0.7777777777777778
Philippe Etchebest,ORG,9,9,9,1.0
Alabama,GPE,9,4,9,0.4444444444444444
Greece,GPE,9,9,9,1.0
Le Mali,ORG,9,9,9,1.0
Bill,PERSON,9,7,9,0.7777777777777778
Australian,GPE,8,4,8,0.5
Columbia,GPE,8,6,8,0.75
Ukraine,GPE,8,5,8,0.625
NATO,ORGANIZATION,8,6,8,0.75
Beijing,GPE,8,5,8,0.625
Pierre Poilievre,ORG,8,6,8,0.75
Protest,GPE,8,8,8,1.0
Harpreet Singh,PERSON,8,6,8,0.75
Ukrainian,GPE,8,6,8,0.75
Washington,GPE,8,6,8,0.75
Karnataka,GPE,8,6,8,0.75
Expert,PERSON,8,4,8,0.5
Centre,GPE,8,5,8,0.625
Tanzania,GPE,8,7,8,0.875
Happy Passia,PERSON,8,4,8,0.5
California,GPE,8,8,8,1.0
San,GPE,8,6,8,0.75
Nepal,GPE,8,8,8,1.0
Sciences Po Paris,ORG,8,8,8,1.0
Korea,PERSON,8,5,8,0.625
News,GPE,7,6,7,0.8571428571428571
Ile Maurice,ORG,7,1,7,0.14285714285714285
Party,GPE,7,7,7,1.0
English,GPE,7,7,7,1.0
Stock Quote,PERSON,7,1,7,0.14285714285714285
Newspaper,GPE,7,2,7,0.2857142857142857
Singapore,GPE,7,7,7,1.0
Bosnie Milorad Dodik,ORG,7,7,7,1.0
Au Niger,ORG,7,7,7,1.0
Iran,GPE,7,7,7,1.0
Ministry,ORGANIZATION,7,6,7,0.8571428571428571
