text,type,start,end,method,article_url,article_domain,context
Die Justiz,PERSON,15,25,simple,https://www.nzz.ch/meinung/unnuetze-paragrafenreiterei-und-ewig-dauernde-verfahren-ld.1877206,nzz.ch,[UNTRANSLATED] Die Justiz ist überfordert : Mediationen wären eine Lösung
Ford,ORGANIZATION,40,44,simple,https://www.ots.at/presseaussendung/OTS_20250425_OTS0177/keine-mehrheit-fuer-fpoe-forderung-nach-verbot-von-debanking,ots.at,[UNTRANSLATED] Keine Mehrheit für FPÖ - Forderung nach Verbot von Debanking
Keine Mehrheit,PERSON,15,29,simple,https://www.ots.at/presseaussendung/OTS_20250425_OTS0177/keine-mehrheit-fuer-fpoe-forderung-nach-verbot-von-debanking,ots.at,[UNTRANSLATED] Keine Mehrheit für FPÖ - Forderung nach Verbot von Debanking
Google,ORGANIZATION,86,92,simple,https://www.ixbt.com/news/2025/04/27/openai-chrome-google.html,ixbt.com,[UNTRANSLATED] OpenAI претендует на Chrome на фоне антимонопольного разбирательства с Google
France,LOCATION,59,65,simple,https://www.notizie.it/indagine-su-affermazioni-contro-papa-francesco-il-caso-pappalardo/,notizie.it,[UNTRANSLATED] Indagine su Pappalardo : accuse contro Papa Francesco
Papa Francesco,PERSON,54,68,simple,https://www.notizie.it/indagine-su-affermazioni-contro-papa-francesco-il-caso-pappalardo/,notizie.it,[UNTRANSLATED] Indagine su Pappalardo : accuse contro Papa Francesco
France,LOCATION,18,24,simple,https://www.unionesarda.it/news/italia/francesco-un-antipapa-indagine-interna-su-un-dirigente-del-ministero-della-giustizia-omj9bqkl,unionesarda.it,[UNTRANSLATED]  « Francesco un antipapa »: indagine interna su un dirigente del Ministero della Giustizia
Ministero Giustizia,PERSON,15,34,simple,https://www.ansa.it/emiliaromagna/notizie/2025/04/22/ministero-giustizia-indagini-su-frasi-dirigente-contro-il-papa_719306d0-b648-437d-8b27-0f48b5131ef1.html,ansa.it,"[UNTRANSLATED] Ministero Giustizia , indagini su frasi dirigente contro il Papa - Notizie"
Ministero Giustizia,PERSON,15,34,simple,https://www.ilgiornaledivicenza.it/news/italia/ministero-giustizia-indagini-su-frasi-dirigente-contro-il-papa-1.12658116,ilgiornaledivicenza.it,"[UNTRANSLATED] Ministero Giustizia , indagini su frasi dirigente contro il Papa"
France,LOCATION,17,23,simple,https://www.ansa.it/sito/notizie/topnews/2025/04/24/francesco-antipapa-rimosso-dirigente-giustizia_56cc6524-525e-4368-8987-fb16eab70b1b.html,ansa.it,"[UNTRANSLATED]   Francesco antipapa , rimosso dirigente Giustizia - Ultima ora"
Ministero Giustizia,PERSON,15,34,simple,https://www.imolaoggi.it/2025/04/23/ministero-giustizia-indagini-per-frasi-di-un-dirigente-su-bergoglio/,imolaoggi.it,"[UNTRANSLATED] Ministero Giustizia , indagini per frasi di un dirigente su Bergoglio • Imola Oggi"
Imola Oggi,PERSON,87,97,simple,https://www.imolaoggi.it/2025/04/23/ministero-giustizia-indagini-per-frasi-di-un-dirigente-su-bergoglio/,imolaoggi.it,"[UNTRANSLATED] Ministero Giustizia , indagini per frasi di un dirigente su Bergoglio • Imola Oggi"
