url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language,content_hash
https://www.sb.by/en/mogilev-region-governor-chernobyl-is-not-only-tragedy-it-is-lesson-for-all-mankind.html,,"Mogilev Region Governor : Chernobyl is not only a tragedy , it is a lesson for all mankind",20250427T034500Z,https://www.sb.by/upload/content/og_image.jpg,sb.by,English,Belarus,MANMADE_DISASTER,Human-caused disasters,English,79bb10bdbf88252d3d8b0cb059c95019
https://710keel.com/ixp/182/p/bp-oil-spill-15-years-louisiana/,,Locals Reflect on 15 Years Since Deepwater Horizon Spill,20250422T040000Z,https://townsquare.media/site/182/files/2025/04/attachment-GettyImages-98913086.jpg?&q=75&format=natural,710keel.com,English,United States,MANMADE_DISASTER,Human-caused disasters,English,1fe3a78c56a0930a6e40837bbbced6f7
https://k945.com/bp-oil-spill-15-years-louisiana/,,Locals Reflect on 15 Years Since Deepwater Horizon Spill,20250421T213000Z,https://townsquare.media/site/182/files/2025/04/attachment-GettyImages-98913086.jpg?&q=75&format=natural,k945.com,English,United States,MANMADE_DISASTER,Human-caused disasters,English,dc92dd8fac6170dbaaebab99f9abee7d
https://kulturegeek.fr/news-330581/leurope-sanctionne-apple-meta-violations-dma-cest-premiere,,"LEurope sanctionne Meta pour des violations du DMA , et cest une première",20250423T131500Z,https://cdn.kulturegeek.fr/wp-content/uploads/2021/10/Facebook-Meta.jpg,kulturegeek.fr,French,France,SANCTIONS,Economic and political sanctions,French,ff3a38e2e33c00aa63ce1d9a7dc293f2
https://www.app.com.pk/domestic/seminar-stresses-womens-involvement-in-leather-industry/,,Seminar stresses women involvement in leather industry,20250426T101500Z,https://www.app.com.pk/wp-content/uploads/2024/06/GCWUS.jpg,app.com.pk,English,Pakistan,WATER_SECURITY,Water security and access,English,078c168dee2bdba1d061fb7bc709ecb9
https://timesofindia.indiatimes.com/toi-plus/international/indus-versus-them/articleshow/120590071.cms,https://timesofindia.indiatimes.com/toi-plus/international/indus-versus-them/amp_articleshow/120590071.cms,Indus versus them - The Times of India,20250424T180000Z,"https://static.toiimg.com/thumb/msid-120590088,width-1070,height-580,imgsize-117284,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",timesofindia.indiatimes.com,English,India,WATER_SECURITY,Water security and access,English,342c2605f17e146afda8d1d7bb6b96c6
https://www.finanznachrichten.de/nachrichten-2025-04/65210749-how-to-combine-photovoltaics-with-rainwater-harvesting-451.htm,,How to combine photovoltaics with rainwater harvesting,20250425T080000Z,https://www.finanznachrichten.de/content/g/fb.png,finanznachrichten.de,English,Germany,WATER_SECURITY,Water security and access,English,c5f318339ccf2cf9a74a228eedf4007d
https://timesofindia.indiatimes.com/city/ranchi/kanke-dam-condition-pathetic-mp-sanjay-seth/articleshow/120528573.cms,https://timesofindia.indiatimes.com/city/ranchi/kanke-dam-condition-pathetic-mp-sanjay-seth/amp_articleshow/120528573.cms,Kanke dam condition pathetic : MP Sanjay Seth | Ranchi News,20250422T210000Z,"https://static.toiimg.com/thumb/msid-120528569,width-1070,height-580,imgsize-117500,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",timesofindia.indiatimes.com,English,India,WATER_SECURITY,Water security and access,English,5fa0a5936f925bd98bd6681f2b3dbf73
https://www.moroccoworldnews.com/2025/04/193617/morocco-reaffirms-green-energy-leadership-at-16th-energy-conference/,,Morocco Reaffirms Green Energy Leadership at 16th Energy,20250424T193000Z,https://www.moroccoworldnews.com/wp-content/uploads/2025/04/download-10.webp,moroccoworldnews.com,English,Morocco,WATER_SECURITY,Water security and access,English,79c3f495e5ec2641138feea6c6a9e7ac
https://www.newsday.co.zw/opinion-analysis/article/200041182/ensuring-water-security-in-mining-communities-critical,https://www.newsday.co.zw/amp/opinion-analysis/article/200041182/ensuring-water-security-in-mining-communities-critical,Ensuring water security in mining communities critical - Newsday Zimbabwe,20250426T041500Z,https://cdn.thestandard.co.zw/images/newsday/uploads/2025/04/E2h2NFvOjvg7KgGyvM5dpXXZUmokmY2NMdjHPFAG.jpg,newsday.co.zw,English,Zimbabwe,WATER_SECURITY,Water security and access,English,65cf785c045d7b571356cc1c2855e091
https://www.yahoo.com/news/unused-downtown-rogers-water-tank-192723593.html,,Unused Downtown Rogers water tank scheduled for removal,20250426T214500Z,https://media.zenfs.com/en/knwa_fayetteville_articles_688/466d1355fc49bb3ef4812733ea870d89,yahoo.com,English,United States,WATER_SECURITY,Water security and access,English,f2d051b87e807c7b188fa5d5b4ec2961
https://mg.co.za/partner-content/2025-04-23-enlit-africa-2025-empowering-commercial-and-industrial-companies-for-self-generation-energy-and-water-security/,,"Enlit Africa 2025 : Empowering commercial and industrial companies for self - generation , energy and water security – The Mail & Guardian",20250423T081500Z,https://mg.co.za/wp-content/uploads/2025/04/Enlit-Africa-2024-3545.jpg,mg.co.za,English,South Africa,WATER_SECURITY,Water security and access,English,5d519c82244ba9cf5c6a9876ee714aa0
https://allafrica.com/stories/202504250024.html,,"Egypt : FM Praises Italy Support for Egypt in EU , International Forums",20250425T061500Z,,allafrica.com,English,Nigeria,WATER_SECURITY,Water security and access,English,7c4470d1b66bdc4f5e68019380803b1e
https://www.finanznachrichten.de/nachrichten-2025-04/65211591-earth-day-2025-powerchina-powers-the-planet-by-advancing-global-water-sustainability-environmental-protection-and-livelihoods-008.htm,,"Earth Day 2025 : POWERCHINA Powers the Planet by Advancing Global Water Sustainability , Environmental Protection , and Livelihoods",20250425T084500Z,,finanznachrichten.de,English,Germany,WATER_SECURITY,Water security and access,English,801c84f79a7f3bea809b46d5ad76c679
https://www.elcaribe.com.do/panorama/pais/ministerio-de-trabajo-invita-a-feria-de-empleos-para-bavaro/,,Ministerio de Trabajo invita a feria de empleos para Bávaro,20250422T143000Z,https://img.mmc.com.do/elcaribe-bucket/uploads/2025/04/68078b57a8140_4e519980-2cc4-4aa2-8754-6b8b003e7c38.jpg,elcaribe.com.do,Spanish,Dominican Republic,WATER_SECURITY,Water security and access,Spanish,d83cd46533bd3e9b1b122d6c0047b81a
https://acento.com.do/economia/ministerio-de-trabajo-invita-a-feria-de-empleos-en-bavaro-hoy-9487760.html,https://acento.com.do/amp/economia/ministerio-de-trabajo-invita-a-feria-de-empleos-en-bavaro-hoy-9487760.html,"Ministerio de Trabajo invita a feria de empleos en Bávaro , hoy",20250423T111500Z,https://media.acento.com.do/media/storage02/uploads/2025/04/Fachada-1-OG.jpg,acento.com.do,Spanish,Dominican Republic,WATER_SECURITY,Water security and access,Spanish,22967ecdddf377f195e4a9c154fb5f6a
