url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language
https://www.yahoo.com/news/idaho-takes-vital-step-toward-102049564.html,,Idaho takes vital step toward addressing doctor shortage by expanding medical education,20250422T114500Z,https://media.zenfs.com/en/idaho_capital_sun_articles_175/ead689f8344d1b238c6840090b6b3196,yahoo.com,English,United States,MEDICAL,Medical topics and healthcare,English
https://www.thestar.com.my/news/world/2025/04/08/chinese-medics-conduct-mobile-clinic-in-northern-tanzania-to-mark-world-health-day,,Chinese medics conduct mobile clinic in northern Tanzania to mark World Health Day,20250407T174500Z,,thestar.com.my,English,Malaysia,MEDICAL,Medical topics and healthcare,English
https://www.thestar.com.my/news/nation/2025/04/10/health-ministry-reminds-medical-practitioners-not-to-make-misleading-statements,,Health Ministry reminds medical practitioners not to make misleading statements,20250410T124500Z,https://apicms.thestar.com.my/uploads/images/2025/04/10/3258375.jpg,thestar.com.my,English,Malaysia,MEDICAL,Medical topics and healthcare,English
https://en.antaranews.com/news/351061/acer-medical-debuts-verisee-ai-assisted-screening-solutions-at-the-malaysian-ophthalmology-society-annual-congress,,Acer Medical Debuts VeriSee AI - assisted Screening Solutions at the Malaysian Ophthalmology Society Annual Congress,20250409T094500Z,https://cdn.antaranews.com/cache/1200x800/2025/04/09/acer.jpg,en.antaranews.com,English,Indonesia,MEDICAL,Medical topics and healthcare,English
https://www.bangkokpost.com/business/general/3008109/alliance-looks-to-ai-data-platform-to-boost-healthcare-sector,,Bangkok Post - Alliance looks to AI data platform to boost healthcare sector,20250422T013000Z,https://www.bangkokpost.com/v3/assets/images/img-default.jpg,bangkokpost.com,English,Thailand,MEDICAL,Medical topics and healthcare,English
https://portal.sina.com.hk/finance/finance-prnewswire/prnasia/2025/04/24/1170183/2025-medtec-free-pre-registration-kicks-off-meet-over-1000-chinese-local-enterprises/,,2025 Medtec Free Pre - Registration Kicks Off ! Meet Over 1000 Chinese Local Enterprises,20250424T021500Z,https://mma.prnasia.com/media2/2671132/image_5015819_31820907.jpg?p=medium600,portal.sina.com.hk,English,Hong Kong,MEDICAL,Medical topics and healthcare,English
https://markets.financialcontent.com/stocks/quote?Symbol=537:25340697,,Journey Medical Corporation - Common Stock ( Nasdaq : DERM ) Stock Quote,20250407T160000Z,,markets.financialcontent.com,English,United States,MEDICAL,Medical topics and healthcare,English
https://en.antaranews.com/news/352733/medical-device-exports-at-us273-mln-in-2024-ministry,,Medical device exports at US$273 mln in 2024 : ministry,20250423T184500Z,https://cdn.antaranews.com/cache/1200x800/2025/04/23/20250423_115830.jpg,en.antaranews.com,English,Indonesia,MEDICAL,Medical topics and healthcare,English
https://pjmedia.com/catherinesalgado/2025/04/25/new-report-exposes-dei-in-medical-school-n4939220,https://pjmedia.com/catherinesalgado/2025/04/25/new-report-exposes-dei-in-medical-school-n4939220/amp,New Report Exposes DEI in Medical Schools,20250425T143000Z,https://media.townhall.com/cdn/hodl/2022/48/03387737-6002-4b7a-9c61-9678359a67ca.jpg,pjmedia.com,English,United States,MEDICAL,Medical topics and healthcare,English
https://www.koreaherald.com:443/article/10469477,https://m.koreaherald.com/article/10469477,"Doctors protest despite hike plan freeze , demanding full withdrawal",20250420T094500Z,https://wimg.heraldcorp.com/news/cms/2025/04/20/rcv.YNA.20250420.PYH2025042004890001301_T1.jpg,koreaherald.com,English,South Korea,MEDICAL,Medical topics and healthcare,English
https://www.myjoyonline.com/knust-school-of-medicine-sciences-at-50-seeks-increased-investment-in-medical-education/,,KNUST School of Medicine Sciences at 50 : Seeks increased investment in medical education,20250404T191500Z,https://www.myjoyonline.com/wp-content/uploads/2025/04/Untitled-13.jpg,myjoyonline.com,English,Ghana,MEDICAL,Medical topics and healthcare,English
