url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language
https://www.yahoo.com/news/gov-abbott-announces-special-election-233437991.html,,Gov . Abbott announces special election for Sylvester Turner seat,20250408T020000Z,https://media.zenfs.com/en/kxan_articles_390/10e5aa22250f8e173429ba4a39437611,yahoo.com,English,United States,ELECTION,Election-related themes,English
https://dailyhive.com/vancouver/vancouver-city-council-by-election-long-waits-response,,City Manager apologizes for Vancouver by - election poor planning,20250407T020000Z,https://images.dailyhive.com/20250406154028/britannia-community-centre-vancouver-city-council-by-election-line-april-5-2025-f.jpg,dailyhive.com,English,Canada,ELECTION,Election-related themes,English
https://www.nbcdfw.com/news/local/texas-news/greg-abbott-special-election-congressional-seat-sylvester-turner/3811450/,https://www.nbcdfw.com/news/local/texas-news/greg-abbott-special-election-congressional-seat-sylvester-turner/3811450/?amp=1,Texas Gov . Abbott sets special election to fill Congressional seat – NBC 5 Dallas - Fort Worth,20250408T174500Z,https://media.nbcdfw.com/2024/03/n10pf-p-abbott-and-bord_KXAS49E7_2024-03-08-21-42-50.jpg?quality=85&strip=all,nbcdfw.com,English,United States,ELECTION,Election-related themes,English
https://www.vol.at/spoe-in-apa-election-trend-for-vienna-election-stable-in-first-place/9323879,,SPÖ in APA - Wahltrend für Wien - Wahl stabil auf Platz 1,20250407T100000Z,https://www.vol.at/2025/04/ABD0069-20250325-scaled-4-3-0124991874-2499x1874.jpg,vol.at,English,Austria,ELECTION,Election-related themes,English
https://www.vol.at/spoe-in-polls-for-vienna-election-steady-in-first-place/9324047,,SPÖ in Polls for Vienna Election Steady in First Place,20250407T103000Z,,vol.at,English,Austria,ELECTION,Election-related themes,English
https://www.vol.at/how-patients-in-care-and-nursing-institutions-can-participate-in-the-vienna-election/9345050,,How Patients in Care and Nursing Institutions Can Participate in the Vienna Election,20250417T091500Z,https://www.vol.at/2025/04/ABD0011-20200913-scaled-4-3-82023961797-2396x1797.jpg,vol.at,English,Austria,ELECTION,Election-related themes,English
https://thefederalist.com/2025/04/11/after-4-years-of-claiming-us-elections-are-most-secure-ever-leftists-again-accuse-trump-of-stealing-them/,,Leftists Again Accuse Trump Of Stealing US Elections,20250411T230000Z,https://thefederalist.com/wp-content/uploads/2025/04/Trump.jpg,thefederalist.com,English,United States,ELECTION,Election-related themes,English
https://www.yahoo.com/news/2025-municipal-primary-runoff-saturday-153440843.html,,2025 Municipal Primary Runoff : Saturday in - person absentee voting begins,20250410T180000Z,https://media.zenfs.com/en/wjtv_jackson_articles_164/aab934ad33211a084868b1f2d9ffe15d,yahoo.com,English,United States,ELECTION,Election-related themes,English
https://mb.com.ph/2025/4/16/eu-deploys-for-first-time-72-election-observers-in-ph,,EU deploys for first time 72 election observers in PH,20250416T044500Z,https://images.mb.com.ph/production/EU_election_observers_711ca49653.jpeg,mb.com.ph,English,Philippines,ELECTION,Election-related themes,English
https://www.cbc.ca/news/politics/canadians-voting-early-special-ballots-1.7506211,https://www.cbc.ca/amp/1.7506211,"Over 100 , 000 Canadians already voted as election campaign hits halfway point",20250409T230000Z,https://i.cbc.ca/1.7498542.1743461651!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_1180/fedelxn-mail-ballot-20210902.JPG?im=Resize%3D620,cbc.ca,English,Canada,ELECTION,Election-related themes,English
https://www.vol.at/most-pleasant-subway-line-the-u6-is-not-it-karl-mahrer-oevp-in-a-word-rap-for-the-vienna-election/9343730,,Angenehmste U - Bahnlinie ?  Die U6 ist es nicht : Karl Mahrer ( ÖVP ) im Word - Rap zur Wien - Wahl,20250416T141500Z,https://www.vol.at/2025/04/Bilder-Verena543-4-3-80914081056-1408x1056.jpg,vol.at,English,Austria,ELECTION,Election-related themes,English
https://www.boston.com/news/local-news/2025/04/17/boston-city-council-candidate-against-petition-to-block-district-7-special-election/,https://www.boston.com/news/local-news/2025/04/17/boston-city-council-candidate-against-petition-to-block-district-7-special-election/?amp=1,City Council candidate bashes petition to skip special election,20250418T040000Z,https://bdc2020.o0bc.com/wp-content/uploads/2025/04/saidahmed-6801a5d45ca6b-768x432.jpg,boston.com,English,United States,ELECTION,Election-related themes,English
https://tribune.com.pk/story/2538971/ecp-begins-training-for-new-election-officers,,ECP begins training for new election officers,20250410T020000Z,https://i.tribune.com.pk/media/images/1463674-ECP-1500675679/1463674-ECP-1500675679.jpg,tribune.com.pk,English,Pakistan,ELECTION,Election-related themes,English
https://www.yahoo.com/news/arvin-city-council-hold-additional-005433109.html,,Arvin city council to hold additional vote on special election,20250409T034500Z,https://media.zenfs.com/en/kget_bakersfield_articles_800/e1ebe59a85ccf7aec7d5a52f9459d376,yahoo.com,English,United States,ELECTION,Election-related themes,English
