url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language
https://www.thenews.com.pk/print/1304633-role-of-technology-and-pakistan-s-maritime-security-technology-not-ultimate-decision-maker-ex-naval-chief,,  Role of Technology and Pakistan Maritime Security : Technology not ultimate decision - maker : ex - naval chief,20250424T010000Z,https://www.thenews.com.pk/assets/uploads/akhbar/2025-04-24/l_1304633_045218_updates.jpg,thenews.com.pk,English,Pakistan,MARITIME,Maritime and naval themes,English
https://www.ghanaweb.com/GhanaHomePage/business/President-Mahama-appoints-Mubarick-Masawudu-as-Deputy-Director-General-of-Maritime-Authority-1981448,https://mobile.ghanaweb.com/GhanaHomePage/business/President-Mahama-appoints-Mubarick-Masawudu-as-Deputy-Director-General-of-Maritime-Authority-1981448,President Mahama appoints Mubarick Masawudu as Deputy Director - General of Maritime Authority,20250426T093000Z,https://cdn.ghanaweb.com/imagelib/pics/559/55917966.jpg,ghanaweb.com,English,Ghana,MARITIME,Maritime and naval themes,English
https://www.news18.com/lifestyle/national-maritime-day-2025-date-history-significance-and-all-you-need-to-know-ws-l-9285206.html,https://www.news18.com/amp/lifestyle/national-maritime-day-2025-date-history-significance-and-all-you-need-to-know-ws-l-9285206.html,"National Maritime Day 2025 : Date , History , Significance And All You Need To Know",20250405T024500Z,https://images.news18.com/ibnlive/uploads/2025/04/image-1600x900-2025-04-04T135751.103-2025-04-7aa7ecebb9b290f289a2ba9c438d2d71-16x9.png,news18.com,English,India,MARITIME,Maritime and naval themes,English
https://www.globalsecurity.org/military/library/news/2025/04/mil-250424-globaltimes01.htm,,"China installation of aquaculture facilities in Yellow Sea in compliance with law , unrelated to maritime delimitation with S . Korea : FM",20250425T111500Z,,globalsecurity.org,English,Syria,MARITIME,Maritime and naval themes,English
https://news.webindia123.com/news/Articles/India/20250405/4304150.html,,Shipping Minister Sarbabanda Sonowal flags off Maritime Awareness Walkathon on National Maritime Day,20250405T054500Z,,news.webindia123.com,English,India,MARITIME,Maritime and naval themes,English
https://www.firstpost.com/india/why-indias-sea-borders-are-all-set-to-expand-further-13876995.html,https://www.firstpost.com/india/why-indias-sea-borders-are-all-set-to-expand-further-13876995.html/amp,Why India sea borders are all set to expand further,20250404T061500Z,"https://images.firstpost.com/uploads/2025/04/ArabianSea1200PTI-2025-04-a2bd060cfc490d2889f60e4015b4fe2e.jpg?im=FitAndFill=(1200,675)",firstpost.com,English,India,MARITIME,Maritime and naval themes,English
https://www.globalsecurity.org/wmd/library/news/china/2025/04/china-250425-globaltimes02.htm,,"China , Vietnam coast guards successfully conclude first 2025 joint patrol in Beibu Gulf",20250426T111500Z,,globalsecurity.org,English,Syria,MARITIME,Maritime and naval themes,English
https://www.ibtimes.co.in/india-strengthen-maritime-sector-ports-pm-modi-881769,https://amp.ibtimes.co.in/india-strengthen-maritime-sector-ports-pm-modi-881769,"India to strengthen maritime sector , ports : PM Modi",20250405T161500Z,https://data1.ibtimes.co.in/en/full/813747/pm-modi-visit-sri-lanka-after-attending-bimstec-summit-thailand.png,ibtimes.co.in,English,India,MARITIME,Maritime and naval themes,English
https://www.arabnews.com/node/2596771/saudi-arabia,https://www.arabnews.com/node/2596771/amp,Saudi envoy to united kingdom honored for maritime work,20250412T123000Z,https://www.arabnews.com/sites/default/files/styles/660x371_watermarksaudi/public/main-image/2025/04/12/4591282-1552501714.jpg?itok=jpVZqwzo,arabnews.com,English,Saudi Arabia,MARITIME,Maritime and naval themes,English
https://www.brecorder.com/news/40357936/pakistan-china-agree-to-strengthen-coordination-cooperation-on-maritime-policies,,"Pakistan , China agree to strengthen coordination , cooperation on maritime policies - Pakistan",20250416T080000Z,,brecorder.com,English,Pakistan,MARITIME,Maritime and naval themes,English
https://zeenews.india.com/economy/will-continue-to-strengthen-maritime-sector-ports-pm-modi-2882024.html,https://zeenews.india.com/economy/will-continue-to-strengthen-maritime-sector-ports-pm-modi-2882024.html/amp,"Will Continue To Strengthen Maritime Sector , Ports : PM Modi",20250405T083000Z,https://english.cdn.zeenews.com/sites/default/files/2025/04/05/1718798-modi.jpg,zeenews.india.com,English,India,MARITIME,Maritime and naval themes,English
https://pragativadi.com/india-strengthens-maritime-future-on-national-maritime-day/,,National Maritime Day India : Strengthening Maritime Sector for ProgressIndia Strengthens Maritime Future on National Maritime Day - Pragativadi I Latest Odisha News in English I Breaking News,20250405T090000Z,https://pragativadi.com/wp-content/uploads/2025/04/commissionerate-police-2-9.png,pragativadi.com,English,India,MARITIME,Maritime and naval themes,English
https://www.koreaherald.com:443/article/10473193,https://m.koreaherald.com/article/10473193,"Seoul , Beijing at odds over West Sea structures , but vow to keep talking",20250424T071500Z,https://wimg.heraldcorp.com/news/cms/2025/04/24/news-p.v1.20250424.4e2cfee43ba240cca551360bbe5c6b60_T1.jpg,koreaherald.com,English,South Korea,MARITIME,Maritime and naval themes,English
https://www.globalsecurity.org/wmd/library/news/pakistan/2025/pakistan-250416-prc-mofa01.htm,,Joint Press Release on the Fifth Round of Maritime Cooperation Dialogue Between China and Pakistan,20250419T113000Z,,globalsecurity.org,English,Syria,MARITIME,Maritime and naval themes,English
https://www.myjoyonline.com/ratification-of-marpol-annex-vi-policy-recommendations-for-african-coastal-states/,,Ratification of MARPOL Annex VI – Policy recommendations for African Coastal States,20250401T074500Z,https://www.myjoyonline.com/wp-content/uploads/2025/04/image-14.png,myjoyonline.com,English,Ghana,MARITIME,Maritime and naval themes,English
https://www.inewsgr.com/3/The-maritime-cluster-dominates-meeting-betweeen-Kikilias-and-Pireaus-Chamber.htm,https://www.inewsgr.com/3/the-maritime-cluster-dominates-meeting-betweeen-kikilias-and-pireaus-chamber.htm.amp,The maritime cluster dominates meeting betweeen Kikilias and Pireaus Chamber,20250331T054500Z,,inewsgr.com,English,Greece,MARITIME,Maritime and naval themes,English
https://gcaptain.com/trump-executive-order-echoes-ships-act-in-bid-to-reclaim-maritime-dominance/,,Trump Executive Order Echoes SHIPS Act in Bid to Reclaim Maritime Dominance,20250410T213000Z,https://gcaptain.com/wp-content/uploads/2016/12/8-DCS16-536-163.jpg,gcaptain.com,English,United States,MARITIME,Maritime and naval themes,English
https://aninews.in/news/national/general-news/union-minister-sarbananda-sonowal-inaugurates-rs-677-cr-projects-in-imu-campuses20250408222618/,/news/national/general-news/union-minister-sarbananda-sonowal-inaugurates-rs-677-cr-projects-in-imu-campuses20250408222618?amp=1,Union Minister Sarbananda Sonowal Inaugurates Rs 67 . 7 Cr projects in IMU Campuses,20250408T194500Z,https://d3lzcn6mbbadaf.cloudfront.net/media/details/ANI-20250408165607.jpg,aninews.in,English,India,MARITIME,Maritime and naval themes,English
https://www.newdelhitimes.com/7th-india-japan-maritime-affairs-dialogue-held-in-tokyo/,,7th India - Japan Maritime Affairs Dialogue held in Tokyo,20250403T161500Z,https://i0.wp.com/www.newdelhitimes.com/wp-content/uploads/2025/04/Screenshot-2025-04-03-120138.png?fit=335%2C199&quality=80&ssl=1,newdelhitimes.com,English,United States,MARITIME,Maritime and naval themes,English
