url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language
https://www.komando.com/tips/deja-vu-is-over/,,Déjà vu is over,20250404T193000Z,,komando.com,English,United States,MEDIA_SOCIAL,Social media references,English
https://finance.yahoo.com/news/xcel-brands-announces-9m-investment-151101448.html,,Xcel Brands announces $9M investment from United Trademark Group,20250425T154500Z,https://media.zenfs.com/en/tipranks_452/1a4272c5dcde51f86ff74027aa399dc5,finance.yahoo.com,English,United States,MEDIA_SOCIAL,Social media references,English
https://www.ynetnews.com/article/hjbdxcg0ke,,Tashkent taxi driver boasts :  I refused to drive Jews to Israeli embassy  ,20250408T231500Z,https://ynet-pic1.yit.co.il/picserver6/crop_images/2025/04/08/rybW23GRkl/rybW23GRkl_0_31_445_251_0_large.jpg,ynetnews.com,English,Israel,MEDIA_SOCIAL,Social media references,English
https://www.herefordtimes.com/news/25079800.adolescence-themes-tackled-herefordshire-youth-project/,,Adolescence themes tackled by Herefordshire youth project,20250413T080000Z,https://www.herefordtimes.com/resources/images/19315982.jpg?type=og-image&xType=0&yType=138,herefordtimes.com,English,United Kingdom,MEDIA_SOCIAL,Social media references,English
https://www.tvguide.co.uk/schedule/2d04d382-85d4-5b23-9ceb-e4969119448d/saturday-social,,Saturday Social,20250419T043000Z,https://tv.assets.pressassociation.io/28a2e3b9-9f37-5390-a6ca-6d6d9ec0edb0.jpg,tvguide.co.uk,English,United Kingdom,MEDIA_SOCIAL,Social media references,English
https://zeenews.india.com/world/they-played-it-wrong-trump-reacts-as-china-announces-tariff-retaliation-2881918.html,https://zeenews.india.com/world/they-played-it-wrong-trump-reacts-as-china-announces-tariff-retaliation-2881918.html/amp,  They Played It Wrong : Trump Reacts As China Announces Tariff Retaliation | World News,20250404T170000Z,https://english.cdn.zeenews.com/sites/default/files/2025/04/04/1718685-04-4-india-china.jpg,zeenews.india.com,English,India,MEDIA_SOCIAL,Social media references,English
https://www.thestatesman.com/india/minister-reviews-arrangements-for-waves-summit-in-mumbai-in-may-1503421955.html,https://www.thestatesman.com/india/minister-reviews-arrangements-for-waves-summit-in-mumbai-in-may-1503421955.html/amp,Minister reviews arrangements for WAVES Summit in Mumbai in May,20250418T133000Z,https://www.thestatesman.com/wp-content/uploads/2025/04/Waves-2025_20250401_221654_0000-jpg.webp,thestatesman.com,English,India,MEDIA_SOCIAL,Social media references,English
https://www.tvguide.co.uk/schedule/53ce07c1-f8f0-56b4-8ceb-d11247e6ba07/saturday-social,,Saturday Social,20250426T043000Z,https://tv.assets.pressassociation.io/28a2e3b9-9f37-5390-a6ca-6d6d9ec0edb0.jpg,tvguide.co.uk,English,United Kingdom,MEDIA_SOCIAL,Social media references,English
https://www.komando.com/episode/how-to-make-your-pet-go-viral-april-12th-hour-2/,,"How to make your pet go viral April 12th , Hour 2",20250412T150000Z,,komando.com,English,United States,MEDIA_SOCIAL,Social media references,English
https://www.abc.net.au/news/2025-04-01/former-deputy-pm-slams-nazi-posters-wagga-shopfront/105121020,https://amp.abc.net.au/article/105121020,"McCormack slams posters of himself , Dutton , Rinehart and Palmer in Nazi uniforms",20250401T033000Z,https://live-production.wcms.abc-cdn.net.au/e8c0270cf56b080fafc7144102922bed?impolicy=wcms_watermark_news&cropH=745&cropW=1324&xPos=0&yPos=99&imformat=generic,abc.net.au,English,Australia,MEDIA_SOCIAL,Social media references,English
https://www.stcatharinesstandard.ca/opinion/columnists/we-have-a-crisis-around-truth-and-trust/article_8da3b858-6f65-5d4a-8682-037a4c91c579.html,,We have a crisis around truth and trust,20250423T133000Z,https://bloximages.chicago2.vip.townnews.com/stcatharinesstandard.ca/content/tncms/assets/v3/editorial/0/f9/0f9ae157-7b4f-5610-b976-e82410f62541/6806b69a82c2c.image.jpg?crop=1763%2C926%2C0%2C124,stcatharinesstandard.ca,English,Canada,MEDIA_SOCIAL,Social media references,English
https://www.indiatimes.com/trending/explained-why-sebi-banned-indira-ivfs-3500-crore-ipo-over-bollywood-film-calling-it-a-suspicious-marketing-trick-655628.html,https://www.indiatimes.com/amp/trending/explained-why-sebi-banned-indira-ivfs-3500-crore-ipo-over-bollywood-film-calling-it-a-suspicious-marketing-trick-655628.html,"Explained : Why SEBI banned Indira IVF ₹3 , 500 crore IPO over Bollywood film , calling it a  suspicious marketing trick  ",20250328T143000Z,,indiatimes.com,English,India,MEDIA_SOCIAL,Social media references,English
https://finance.yahoo.com/news/exclusive-xcel-brands-brings-china-145214680.html,,EXCLUSIVE : Xcel Brands Brings in China United Trademark Group as Strategic Partner,20250425T223000Z,https://s.yimg.com/ny/api/res/1.2/nJuf84HmnDQD.B3w3KTZhw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDE-/https://media.zenfs.com/en/wwd_409/8223aaa0b3387753dc2758eba7757ef4,finance.yahoo.com,English,United States,MEDIA_SOCIAL,Social media references,English
https://www.arabianbusiness.com/culture-society/saudi-swimming-pool-warning,,"Saudi Arabia issues swimming pool warning - Arabian Business : Latest News on the Middle East , Real Estate , Finance , and More",20250401T101500Z,https://www.arabianbusiness.com/wp-content/uploads/sites/3/2025/04/Saudi-swimming-pool-safety-warning.jpg,arabianbusiness.com,English,Saudi Arabia,MEDIA_SOCIAL,Social media references,English
https://smallbiztrends.com/how-to-move-past-shame-when-your-small-business-fails/,,How to Move Past Shame When Your Small Business Fails,20250402T000000Z,,smallbiztrends.com,English,United States,MEDIA_SOCIAL,Social media references,English
https://timesofindia.indiatimes.com/technology/tech-news/upi-down-gpay-phonepe-paytm-and-other-apps-hit-by-outage-as-users-report-failed-transactions/articleshow/120227693.cms,https://timesofindia.indiatimes.com/technology/tech-news/upi-down-gpay-phonepe-paytm-and-other-apps-hit-by-outage-as-users-report-failed-transactions/amp_articleshow/120227693.cms,"UPI down : GPay , PhonePe , Paytm and other apps hit by outage as users report failed payments",20250412T084500Z,"https://static.toiimg.com/thumb/msid-120227687,width-1070,height-580,imgsize-2793775,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",timesofindia.indiatimes.com,English,India,MEDIA_SOCIAL,Social media references,English
https://www.gdnonline.com:443/Details/1350825,,Bahrain News : Three writers share honours in final chapter of annual contest,20250418T233000Z,https://www.gdnonline.com/gdnimages/20250419%5C20250419001045three.jpg,gdnonline.com,English,United States,MEDIA_SOCIAL,Social media references,English
https://www.thehindubusinessline.com/news/rural-consumers-display-price-sensitivity-rise-in-adoption-of-digital-platforms-report/article69457510.ece,https://www.thehindubusinessline.com/news/rural-consumers-display-price-sensitivity-rise-in-adoption-of-digital-platforms-report/article69457510.ece/amp/,"Rural consumers display price sensitivity , rise in adoption of digital platforms : Report",20250417T063000Z,https://bl-i.thgim.com/public/incoming/wntzes/article68996871.ece/alternates/LANDSCAPE_1200/10507_25-9-2017_17-31-54_VIS_4469.JPG,thehindubusinessline.com,English,India,MEDIA_SOCIAL,Social media references,English
https://www.prokerala.com/news/articles/a1627958.html,,Meghalaya boy among top 10 finalists for  Resonate : The EDM Challenge  under WAVES in Mumbai,20250422T190000Z,,prokerala.com,English,India,MEDIA_SOCIAL,Social media references,English
https://www.hollywoodreporter.com/news/general-news/lori-oconnor-executive-vp-publisher-the-hollywood-reporter-1236185868/,,Lori OConnor Named Executive VP & Publisher at The Hollywood Reporter,20250409T193000Z,https://www.hollywoodreporter.com/wp-content/uploads/2025/04/Lori-OConnor-headshot-8.15.2023-2-H-2023.jpeg?crop=0px%2C3px%2C1296px%2C725px,hollywoodreporter.com,English,United States,MEDIA_SOCIAL,Social media references,English
https://www.globenewswire.com/news-release/2025/04/24/3067644/17602/en/Leading-Global-Brand-Development-Licensing-Company-United-Trademark-Group-UTG-Announces-a-strategic-partnership-and-a-9-Million-Strategic-Investment-in-Xcel-Brands.html,,"Leading Global Brand Development & Licensing Company , ",20250424T153000Z,https://ml.globenewswire.com/Resource/Download/01078949-dbb9-4b46-ae91-d9eb8af82056,globenewswire.com,English,United States,MEDIA_SOCIAL,Social media references,English
https://campaignbrief.com/connecting-plots-launches-pr-earned-offering-led-by-newly-appointed-head-of-pr-katie-eastment/,,Connecting Plots launches PR + earned offering led by newly - appointed Head of PR Katie Eastment,20250410T051500Z,https://asset-cdn.campaignbrief.com/wp-content/uploads/2025/04/10094506/Connecting-Plots-Katie-Eastment.jpg,campaignbrief.com,English,Australia,MEDIA_SOCIAL,Social media references,English
https://www.dnaindia.com/viral/photo-gallery-riyan-parag-throws-fan-s-phone-after-selfie-netizens-slam-rr-player-3142458,https://www.dnaindia.com/viral/photo-gallery-riyan-parag-throws-fan-s-phone-after-selfie-netizens-slam-rr-player-3142458/amp,"Riyan Parag throws fan phone after selfie , netizens slam RR player",20250401T113000Z,https://cdn.dnaindia.com/sites/default/files/styles/full/public/2025/04/01/2686039-riyan-parag-thumbnail.jpg,dnaindia.com,English,India,MEDIA_SOCIAL,Social media references,English
https://www.news18.com/india/propped-husbands-body-on-a-bike-police-reveal-details-of-haryana-youtuber-wifes-murder-plot-ws-l-9301698.html,https://www.news18.com/amp/india/propped-husbands-body-on-a-bike-police-reveal-details-of-haryana-youtuber-wifes-murder-plot-ws-l-9301698.html,  Propped Husband Body On A Bike : Police Reveal Details Of Haryana YouTuber Wife Murder Plot,20250416T143000Z,https://images.news18.com/ibnlive/uploads/2025/04/haryana-2025-04-43893590a21656a628a5affa6e87bb4c-16x9.jpg,news18.com,English,India,MEDIA_SOCIAL,Social media references,English
