url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description,target_language
https://www.newindianexpress.com/nation/2025/Apr/03/mastermind-of-22-jaipur-serial-blasts-case-held,https://www.newindianexpress.com/amp/story/nation/2025/Apr/03/mastermind-of-22-jaipur-serial-blasts-case-held,Mastermind of  22 Jaipur serial blasts case held,20250403T050000Z,https://media.assettype.com/newindianexpress%2F2025-04-02%2Fw71uukrl%2F202504023366157.jpg?&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,newindianexpress.com,English,India,TERROR,Terrorism-related themes,English
https://www.jpost.com/breaking-news/article-848116,https://m.jpost.com/breaking-news/article-848116,Police arrest Israeli citizen who pledged allegiance to ISIS,20250330T091500Z,"https://images.jpost.com/image/upload/f_auto,fl_lossy/c_fill,g_faces:center,h_407,w_690/534687",jpost.com,English,Israel,TERROR,Terrorism-related themes,English
https://timesofindia.indiatimes.com/india/terror-conspiracy-nia-files-chargesheet-against-pakistani-handler-2-others/articleshow/120320884.cms,https://timesofindia.indiatimes.com/india/terror-conspiracy-nia-files-chargesheet-against-pakistani-handler-2-others/amp_articleshow/120320884.cms,"Terror conspiracy : NIA files chargesheet against Pakistani handler , 2 others | India News",20250415T193000Z,"https://static.toiimg.com/thumb/msid-120320889,width-1070,height-580,imgsize-41330,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",timesofindia.indiatimes.com,English,India,TERROR,Terrorism-related themes,English
https://economictimes.indiatimes.com/news/politics-and-nation/its-a-good-thing-ex-home-minister-sushilkumar-shinde-on-tahawwur-ranas-extradition/articleshow/120147462.cms,https://m.economictimes.com/news/politics-and-nation/its-a-good-thing-ex-home-minister-sushilkumar-shinde-on-tahawwur-ranas-extradition/amp_articleshow/120147462.cms,It a good thing : Ex - home minister Sushilkumar Shinde on Tahawwur Rana extradition,20250410T061500Z,"https://img.etimg.com/thumb/msid-120147687,width-1200,height-630,imgsize-54682,overlay-economictimes/articleshow.jpg",economictimes.indiatimes.com,English,India,TERROR,Terrorism-related themes,English
http://www.israelnationalnews.com/news/406631,,"IAF bombs 45 terror targets , eliminates terror cells",20250409T134500Z,https://2.a7.org/files/pictures/000/1186412.jpg,israelnationalnews.com,English,Israel,TERROR,Terrorism-related themes,English
https://www.israelnationalnews.com/news/406170,,Neutralizing terror leaders as an effective strategy,20250331T090000Z,https://2.a7.org/files/pictures/000/1047076.jpg,israelnationalnews.com,English,Israel,TERROR,Terrorism-related themes,English
https://www.hindustantimes.com/india-news/nia-probes-tahawwur-ranas-links-with-mysterious-dubai-co-conspirator-of-2008-attacks-101744440650265.html,,NIA probes Tahawwur Rana links with mysterious Dubai co - conspirator of 2008 attacks,20250412T074500Z,https://www.hindustantimes.com/ht-img/img/2025/04/12/1600x900/A-cavalcade-escorting-Tahawwur-Hussain-Rana-leaves_1744441934126_1744441940111.jpg,hindustantimes.com,English,India,TERROR,Terrorism-related themes,English
https://news.webindia123.com/news/Articles/India/20250410/4306057.html,,Biggest proof of PM Modi resovle to make India terror - free : Bihar Dy CM on Tahawwur Rana extradition,20250410T103000Z,,news.webindia123.com,English,India,TERROR,Terrorism-related themes,English
https://www.dailyexcelsior.com/its-a-good-thing-ex-home-minister-sushilkumar-shinde-on-tahawwur-ranas-extradition/,,It a good thing : Ex - home minister Sushilkumar Shinde on Tahawwur Rana extradition,20250410T140000Z,https://cdndailyexcelsior.b-cdn.net/wp-content/uploads/2025/04/shinde.jpg,dailyexcelsior.com,English,India,TERROR,Terrorism-related themes,English
https://www.vol.at/united-kingdom-raises-alarm-with-terror-warning-for-austria/9336212,,Großbritannien lässt mit Terrorwarnung für Österreich aufhorchen,20250412T161500Z,https://www.vol.at/2025/04/ABD0067-20231103-scaled-4-3-190021801635-2180x1635.jpg,vol.at,English,Austria,TERROR,Terrorism-related themes,English
