url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description
https://navbharattimes.indiatimes.com/state/gujarat/ahmedabad/aicc-session-in-ahmedabad-why-congress-reclaimed-sardar-patel-legacy-bjp-criticized-cwc-resolution/articleshow/120123396.cms,https://navbharattimes.indiatimes.com/state/gujarat/ahmedabad/aicc-session-in-ahmedabad-why-congress-reclaimed-sardar-patel-legacy-bjp-criticized-cwc-resolution/amp_articleshow/120123396.cms,"सरदार पटेल किसके हैं ? कांग्रेस को अचानक याद आए लौहपुरुष , क्या बीजेपी छोड़ेगी विरासत",20250409T101500Z,"https://static.langimg.com/photo/imgsize-54888,msid-120123453/navbharat-times.jpg",navbharattimes.indiatimes.com,Hindi,India,LEADER,References to leadership figures
https://navbharattimes.indiatimes.com/astro/rashifal/bolen-sitare/vrisabha-rashi-14-april-2025-taurus-horoscope-today/articleshow/120260923.cms,https://navbharattimes.indiatimes.com/astro/rashifal/bolen-sitare/vrisabha-rashi-14-april-2025-taurus-horoscope-today/amp_articleshow/120260923.cms,"आज का वृषभ राशिफल , 14 अप्रैल 2025 : आज का दिन मिलाजुला रहेगा , धीरे - धीरे प्रगति दिखाई देगी",20250414T000000Z,"https://static.langimg.com/photo/imgsize-883266,msid-120260923/navbharat-times.jpg",navbharattimes.indiatimes.com,Hindi,India,GENERAL_HEALTH,Health-related themes
https://www.livehindustan.com/national/sonia-gandhi-says-three-c-making-bad-future-of-children-raised-questions-on-education-policy-201743422040588.html,https://www.livehindustan.com/national/sonia-gandhi-says-three-c-making-bad-future-of-children-raised-questions-on-education-policy-201743422040588.amp.html,"Sonia Gandhi says Three C making bad future of children raised questions on education policy तीन  सी  बिगाड़ रहे बच्चों का सुनहरा भविष्य , सोनिया गांधी ने शिक्षा नीति पर उठाए सवाल , India Hindi News",20250331T131500Z,https://www.livehindustan.com/lh-img/smart/img/2025/03/31/1600x900/sonia_gandhi_1743422441201_1743422441441.jpg,livehindustan.com,Hindi,India,EDUCATION,Education-related themes
https://www.dainiktribuneonline.com/news/comment/space-travel-speeds-up-the-aging-process/,https://m.dainiktribuneonline.com/article/space-travel-speeds-up-the-aging-process/681846/amp,अंतरिक्ष प्रवास तेज करता है बुढ़ापे की प्रक्रिया,20250411T000000Z,https://dainiktribuneonline.imagibyte.sortdcdn.net/wp-content/uploads/2025/04/19032-PTI03_19_2025_000034B-scaled.jpg,dainiktribuneonline.com,Hindi,India,TAX_DISEASE,Disease references
https://navbharattimes.indiatimes.com/india/supreme-court-declared-the-arrest-without-written-grounds-invalid/articleshow/119801362.cms,https://navbharattimes.indiatimes.com/india/supreme-court-declared-the-arrest-without-written-grounds-invalid/amp_articleshow/119801362.cms,अरेस्ट करने का आधार बताना जरूरी ... सुप्रीम कोर्ट ने रद्द की गिरफ्तारी और रिमांड,20250331T111500Z,"https://static.langimg.com/photo/imgsize-94750,msid-119801348/navbharat-times.jpg",navbharattimes.indiatimes.com,Hindi,India,ARREST,Arrests and detentions
https://navbharattimes.indiatimes.com/state/madhya-pradesh/sagar/calcutta-high-court-considers-absence-of-reasons-in-arrest-memo-a-constitutional-violation-taught-the-law-to-cbi/articleshow/120222613.cms,https://navbharattimes.indiatimes.com/state/madhya-pradesh/sagar/calcutta-high-court-considers-absence-of-reasons-in-arrest-memo-a-constitutional-violation-taught-the-law-to-cbi/amp_articleshow/120222613.cms,क्या है संविधान का अनुच्छेद 21 और 22 ? कोलकाता हाईकोर्ट की महिला जज ने CBI को पढ़ा दिया कानून का पाठ,20250412T044500Z,"https://static.langimg.com/photo/imgsize-170802,msid-120223282/navbharat-times.jpg",navbharattimes.indiatimes.com,Hindi,India,ARREST,Arrests and detentions
https://navbharattimes.indiatimes.com/state/bihar/darbhanga/pm-modi-is-not-going-to-spare-pakistan-after-pahalgam-terror-attack-says-hari-sahni/articleshow/120573165.cms,https://navbharattimes.indiatimes.com/state/bihar/darbhanga/pm-modi-is-not-going-to-spare-pakistan-after-pahalgam-terror-attack-says-hari-sahni/amp_articleshow/120573165.cms,"Pahalgam Terrorist Attack , पहलगाम आतंकी हमले के बाद पाकिस्तान को बख्शने वाले नहीं हैं पीएम मोदी  - pm modi is not going to spare pakistan after pahalgam terror attack says hari sahni",20250424T061500Z,"https://static.langimg.com/photo/imgsize-102018,msid-120573219/navbharat-times.jpg",navbharattimes.indiatimes.com,Hindi,India,TAX_RELIGION,Religious themes and references
https://www.punjabkesari.com/editorial/identity-of-pasmanda-muslims-of-india,https://www.punjabkesari.com/amp/story/editorial/identity-of-pasmanda-muslims-of-india,भारत के पसमान्दा मुसलमानों की पहचान,20250404T231500Z,https://media.assettype.com/punjabkesari%2F2025-04-04%2Fo9x4xr6i%2FRakesh-Kapoor.jpg?&ar=40%3A21&auto=format%2Ccompress&ogImage=true&mode=crop&enlarge=true&overlay=false&overlay_position=bottom&overlay_width=100,punjabkesari.com,Hindi,India,TAX_RELIGION,Religious themes and references
https://navbharattimes.indiatimes.com/state/madhya-pradesh/jabalpur/jabalpur-conversion-news-doctor-attempt-to-convert-in-name-of-treatment-minor-girl-started-fasting/articleshow/119981966.cms,https://navbharattimes.indiatimes.com/state/madhya-pradesh/jabalpur/jabalpur-conversion-news-doctor-attempt-to-convert-in-name-of-treatment-minor-girl-started-fasting/amp_articleshow/119981966.cms,"एमपी में इलाज के नाम पर धर्मांतरण का खेल , नाबालिग बच्ची रखने लगी थी रोजा , डॉक्टर कर रहा था ब्रेन वॉश",20250404T131500Z,"https://static.langimg.com/photo/imgsize-41092,msid-119981970/navbharat-times.jpg",navbharattimes.indiatimes.com,Hindi,India,TAX_RELIGION,Religious themes and references
https://www.loktej.com/article/139868/purnahuti-of-shri-ramcharitmanas-text-on-surat-ramnavami-on-sunday,,सूरत : रामनवमी पर श्रीरामचरितमानस पाठ की पूर्णाहुति रविवार को,20250405T173000Z,https://www.loktej.com/media-webp/c600x315/2025-04/d04042025-031.jpg,loktej.com,Hindi,India,TAX_RELIGION,Religious themes and references
https://www.khaskhabar.com/local/rajasthan/jaipur-news/news-pahalgam-attack-gehlot-said--this-incident-is-a-blot-on-humanity-demand-for-concrete-action-from-the-government-news-hindi-1-717504-KKN.html,https://m.khaskhabar.com/amp/news/news-pahalgam-attack-gehlot-said--this-incident-is-a-blot-on-humanity-demand-for-concrete-action-from-the-government-news-hindi-1-717504-KKN.html?PageSpeed=off,"Pahalgam attack : Gehlot said - this incident is a blot on humanity , demand for concrete action from the government , Jaipur News in Hindi",20250423T183000Z,https://www.khaskhabar.com/s3-storage/khaskhabar/khaskhabarimages/img500/4-74-1745428839-717504-khaskhabar.jpg,khaskhabar.com,Hindi,India,TAX_RELIGION,Religious themes and references
https://www.jansatta.com/entertainment/singer-neha-singh-rathore-says-thank-you-modi-ji-after-pahalgam-terror-attack-slams-over-modi-government-raise-questions/3932569/,https://www.jansatta.com/entertainment/singer-neha-singh-rathore-says-thank-you-modi-ji-after-pahalgam-terror-attack-slams-over-modi-government-raise-questions/3932569/lite/,"पहलगाम हमले पर नेहा सिंह राठौर ने मोदी सरकार पर कसा तंज , कहा - थैंक्यू ... Singer Neha Singh Rathore Says Thank you modi ji After Pahalgam Terror Attack Slams over Modi Government raise questions",20250423T054500Z,https://www.jansatta.com/wp-content/uploads/2025/04/Singer-Neha-Singh-Rathore-On-Pahalgam-Terror-Attack.jpg,jansatta.com,Hindi,India,TAX_RELIGION,Religious themes and references
https://www.tarunmitra.in/india-will-get-new-identity-due-to-youth-work/article-83006,,युवाओं के काम से भारत को मिलेगी नई पहचान : प्रो . रेड्डी,20250413T113000Z,https://www.tarunmitra.in/media-webp/c600x315/2025-04/img-20250413-wa0342.jpg,tarunmitra.in,Hindi,India,TAX_RELIGION,Religious themes and references
https://www.livehindustan.com/ncr/jnu-student-union-jnusu-elections-postponed-why-university-take-the-decision-201744989433171.html,https://www.livehindustan.com/ncr/jnu-student-union-jnusu-elections-postponed-why-university-take-the-decision-201744989433171.amp.html,"jnu student union jnusu elections postponed why university take the decision JNU में छात्र संघ चुनाव स्थगित , क्यों लिया यह फैसला ? स्टूडेंट यूनियन में तकरार , Ncr Hindi News",20250418T164500Z,https://www.livehindustan.com/lh-img/smart/img/2025/04/18/1600x900/JNU_1730228056381_1744989471220.jpg,livehindustan.com,Hindi,India,ELECTION,Election-related themes
https://www.livehindustan.com/jharkhand/dhanbad/story-excitement-at-carmel-school-dhanbad-as-students-hold-elections-for-school-cabinet-201744418492796.html,https://www.livehindustan.com/jharkhand/dhanbad/story-excitement-at-carmel-school-dhanbad-as-students-hold-elections-for-school-cabinet-201744418492796.amp.html,"Excitement at Carmel School Dhanbad as Students Hold Elections for School Cabinet कार्मेल में स्कूल कैबिनेट के लिए हुआ चुनाव , रिजल्ट आज , Dhanbad Hindi News",20250412T010000Z,,livehindustan.com,Hindi,India,ELECTION,Election-related themes
https://navbharattimes.indiatimes.com/india/election-commission-is-changing-know-what-kind-of-reforms-are-expected-in-future/articleshow/120404288.cms,https://navbharattimes.indiatimes.com/india/election-commission-is-changing-know-what-kind-of-reforms-are-expected-in-future/amp_articleshow/120404288.cms,बदल रहा है चुनाव आयोग ! जानें आगे किस तरह के सुधारों की है उम्मीद,20250418T094500Z,"https://static.langimg.com/photo/imgsize-75418,msid-120404324/navbharat-times.jpg",navbharattimes.indiatimes.com,Hindi,India,ELECTION,Election-related themes
https://www.prabhatkhabar.com/national/election-commission-training-to-bla,https://www.prabhatkhabar.com/national/election-commission-training-to-bla/amp,Election Commission : बिहार के राजनीतिक दलों के बीएलए को प्रशिक्षण दे रहा है चुनाव आयोग,20250416T143000Z,https://www.prabhatkhabar.com/wp-content/uploads/2024/01/Digital-Campaign-Expenditure-Election-Commission-of-India.jpg,prabhatkhabar.com,Hindi,India,ELECTION,Election-related themes
https://www.prabhatkhabar.com/state/jharkhand/ranchi/cec-jharkhand-visit-chief-election-commissioner-gyanesh-kumar-meet-volunteers-and-blos/,https://www.prabhatkhabar.com/state/jharkhand/ranchi/cec-jharkhand-visit-chief-election-commissioner-gyanesh-kumar-meet-volunteers-and-blos/amp/,"झारखंड दौरे पर आ रहे मुख्य चुनाव आयुक्त ज्ञानेश कुमार , वॉलेंटियर एवं बीएलओ से करेंगे मुलाकात CEC Jharkhand Visit Chief Election Commissioner Gyanesh Kumar meet volunteers and BLOs",20250408T141500Z,https://www.prabhatkhabar.com/wp-content/uploads/2025/04/k-ravi-kumar-meeting.jpg,prabhatkhabar.com,Hindi,India,ELECTION,Election-related themes
https://navbharattimes.indiatimes.com/state/jharkhand/ranchi/chief-election-commissioner-amazed-by-the-electoral-efforts-of-blo-didis-in-remote-dasham-falls/articleshow/120253375.cms,https://navbharattimes.indiatimes.com/state/jharkhand/ranchi/chief-election-commissioner-amazed-by-the-electoral-efforts-of-blo-didis-in-remote-dasham-falls/amp_articleshow/120253375.cms,"दशम जलप्रपात की बीएलओ दीदियों की कहानी , मुख्य चुनाव आयुक्त ज्ञानेश कुमार मेहनत और संघर्ष जानकर रह गए हैरान - chief election commissioner amazed by the electoral efforts of blo didis in remote dasham falls",20250413T111500Z,"https://static.langimg.com/photo/imgsize-91536,msid-120253399/navbharat-times.jpg",navbharattimes.indiatimes.com,Hindi,India,ELECTION,Election-related themes
