url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description
https://www.bankier.pl/wiadomosc/Seria-egzekucji-w-USA-Skazany-wybral-rozstrzelanie-zamiast-krzesla-elektrycznego-8924003.html,https://www.bankier.pl/amp/wiadomosc/Seria-egzekucji-w-USA-Skazany-wybral-rozstrzelanie-zamiast-krzesla-elektrycznego-8924003,Seria egzekucji w united states . Skazany wybrał rozstrzelanie zamiast krzesła elektrycznego,20250413T194500Z,https://galeria.bankier.pl/p/8/e/377665c7369bcc-948-568-42-52-4158-2494.jpg,bankier.pl,Polish,Poland,SECURITY_SERVICES,Security and law enforcement services
"https://www.wnp.pl/wiadomosci/usa-kolejna-egzekucja-przez-rozstrzelanie-w-karolinie-poludniowej,933737.html",,USA : Kolejna egzekucja przez rozstrzelanie w Karolinie Południowej,20250412T051500Z,https://pliki2.wnp.pl/d/49/85/19/498519_r0_940.jpg,wnp.pl,Polish,Poland,SECURITY_SERVICES,Security and law enforcement services
https://tvn24.pl/swiat/usa-kolejna-egzekucja-przez-rozstrzelanie-w-karolinie-poludniowej-wyrok-wykonali-ochotnicy-st8407917,,USA . Kolejna egzekucja przez rozstrzelanie w Karolinie Południowej . Wyrok wykonali ochotnicy,20250412T161500Z,https://tvn24.pl/_e/i/najnowsze/cdn-zdjecie-1062422-en-01650340-0087-1-ph8408005/alternates/WEBP_LANDSCAPE_840,tvn24.pl,Polish,Poland,SECURITY_SERVICES,Security and law enforcement services
https://www.pb.pl/jak-polityka-celna-usa-wplynie-na-polski-rynek-magazynowy-pb-nieruchomosci-1240454,,Jak polityka celna united states wpłynie na polski rynek magazynowy ? PB NIERUCHOMOŚCI,20250422T104500Z,https://images.pb.pl/filtered/efe6200b-3d85-4402-b229-1a2c3aa13bd7/bf0670e5-403d-50e6-9f13-da0ff476e896_og_1200_630.png,pb.pl,Polish,Poland,AFFECT,Emotional affect and sentiment
https://www.bankier.pl/wiadomosc/Jak-chaos-w-kwestii-cel-wplywa-na-polskich-przedsiebiorcow-8929602.html,https://www.bankier.pl/amp/wiadomosc/Jak-chaos-w-kwestii-cel-wplywa-na-polskich-przedsiebiorcow-8929602,Jak chaos w kwestii ceł wpływa na polskich przedsiębiorców ? ,20250423T184500Z,https://galeria.bankier.pl/p/9/d/9f5b612478d554-948-568-80-0-1200-719.jpg,bankier.pl,Polish,Poland,AFFECT,Emotional affect and sentiment
https://www.rp.pl/prawo-na-swiecie/art42178451-miedzynarodowy-trybunal-karny-zmienia-decyzje-ws-beniamina-netanjahu,,Zwrot w sprawie nakazu aresztowania premiera Izraela Beniamina Netanjahu,20250425T100000Z,"https://i.gremicdn.pl/image/free/ae513c06ca9bf5c9be640d93aa109e3e/?t=crop:2616:1622:nowe:0:19,resize:fill:2000:1250&ctx=preview",rp.pl,Polish,Poland,ARREST,Arrests and detentions
https://www.fakt.pl/polityka/dariusz-matecki-opusci-dzisiaj-areszt-prawnik-wprost-o-kaucji/zpzyh8g,,Dariusz Matecki opuści dzisiaj areszt ? Prawnik wprost o kaucji,20250425T094500Z,https://ocdn.eu/pulscms-transforms/1/xsVk9kpTURBXy82NzI2Y2RjM2IyMTA0OTVhNTBlNGYwOGYwY2Y1ZDhjYi5qcGeSlQMAMs0GVc0DkJMFzQSwzQJ23gABoTAB,fakt.pl,Polish,Poland,ARREST,Arrests and detentions
https://www.bankier.pl/wiadomosc/Dariusz-Matecki-opuszcza-areszt-Zebrano-pol-miliona-zlotych-poreczenia-majatkowego-8931144.html,https://www.bankier.pl/amp/wiadomosc/Dariusz-Matecki-opuszcza-areszt-Zebrano-pol-miliona-zlotych-poreczenia-majatkowego-8931144,Dariusz Matecki opuszcza areszt . Zebrano pół miliona złotych poręczenia majątkowego,20250425T154500Z,https://galeria.bankier.pl/p/2/a/7645bd39e6488d-948-568-8-82-3291-1975.jpg,bankier.pl,Polish,Poland,ARREST,Arrests and detentions
https://tvn24.pl/olsztyn/dywity-24-latek-znecal-sie-nad-kotem-i-relacjonowal-to-w-mediach-spolecznosciowych-uslyszal-zarzuty-st8386499,,Dywity . 24 - latek znęcał się nad kotem i relacjonował to w mediach społecznościowych . Usłyszał zarzuty,20250329T111500Z,https://tvn24.pl/najnowsze/cdn-zdjecie-3061077-olsztyn-relacjonowal-znecanie-sie-nad-kotem-ph8386496/alternates/LANDSCAPE_1280,tvn24.pl,Polish,Poland,MEDIA_SOCIAL,Social media references
https://www.wirtualnemedia.pl/artykul/tworca-serialu-dojrzewanie-netflix-popiera-apel-brytyjczykow-zakaz-uzywania-smartfonow-przez-dzieci-co-na-to-rzad,,Twórca serialu „ Dojrzewanie  Netflix popiera apel Brytyjczyków zakaz używania smartfonów przez dzieci co na to rząd,20250331T050000Z,https://static.wirtualnemedia.pl/media/new/googleDiscovery/67e9c5a57681a_dojrzewanie-1200.jpg,wirtualnemedia.pl,Polish,Poland,MEDIA_SOCIAL,Social media references
