url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,theme_id,theme_description
https://tass.ru/armiya-i-opk/23623389,https://tass.ru/armiya-i-opk/23623389/amp,В Минобороны создадут мобильные врачебные комиссии,20250408T070000Z,https://cdn-storage-media.tass.ru/thumb/ru/armiya-i-opk/23623389?u=2025-04-08T06:05:26.364994,tass.ru,Russian,Russia,MEDICAL,Medical topics and healthcare
https://www.interfax.ru/russia/1018735,https://www.interfax.ru/amp/1018735,В Минобороны будут созданы мобильные врачебные комиссии,20250408T063000Z,https://www.interfax.ru/aspimg/1018735.png,interfax.ru,Russian,Russia,MEDICAL,Medical topics and healthcare
https://1prime.ru/20250409/senator-856495849.html,https://1prime.ru/amp/20250409/senator-856495849.html,Сенатор попросил ФАС запретить снижение стоимости охранных услуг для школ,20250409T054500Z,https://cdnn.1prime.ru/images/sharing/article/rus/856495849.jpg,1prime.ru,Russian,Russia,SECURITY_SERVICES,Security and law enforcement services
https://komiinform.ru/news/279279,,Росгвардией Коми за минувшую неделю изъято две единицы оружия,20250414T140000Z,https://komiinform.ru/content/news/images/279279/IMG_3005_list.jpg,komiinform.ru,Russian,Russia,SECURITY_SERVICES,Security and law enforcement services
https://mignews.com/news/arabisrael/smi-poselency-atakovali-beduinov-v-iudee-i-samarii-arestovan-palestinec.html,,СМИ : Поселенцы атаковали бедуинов в Иудее и Самарии . Арестован палестинец | MigNews - Новости Израиля и Мира на русском языке,20250422T073000Z,https://mignews.com/media/cache/2e/2b/2e2ba27838276eb06e59f634f7c8a274.jpg,mignews.com,Russian,,SECURITY_SERVICES,Security and law enforcement services
http://mignews.com/news/arabisrael/smi-poselency-atakovali-beduinov-v-iudee-i-samarii-arestovan-palestinec.html,,СМИ : Поселенцы атаковали бедуинов в Иудее и Самарии . Арестован палестинец | MigNews - Новости Израиля и Мира на русском языке,20250422T074500Z,https://mignews.com/media/cache/2e/2b/2e2ba27838276eb06e59f634f7c8a274.jpg,mignews.com,Russian,,SECURITY_SERVICES,Security and law enforcement services
http://mignews.com/news/politic/maariv-v-sluzhbah-bezopasnosti-potryaseny-naznacheniem-novogo-glavy-shabak.html,,Маарив : в службах безопасности потрясены назначением нового главы ШАБАК | MigNews - Новости Израиля и Мира на русском языке,20250331T074500Z,https://mignews.com/media/cache/7a/dd/7add88fe4287a78552b8ecc18f8a84f6.jpg,mignews.com,Russian,,SECURITY_SERVICES,Security and law enforcement services
https://kazpravda.kz/n/yurlitsa-obyazhut-sdavat-oruzhie-na-hranenie-v-ovd-v-sluchae-priostanovleniya-deyatelnosti/,,Юрлица обяжут сдавать оружие на хранение в ОВД в случае приостановления деятельности,20250402T110000Z,https://example.com/image.jpg,kazpravda.kz,Russian,Kazakhstan,SECURITY_SERVICES,Security and law enforcement services
https://www.newsru.co.il/israel/23apr2025/kortezh323.html,https://www.newsru.co.il/israel/23apr2025/kortezh323.html/amp/,Нетаниягу опоздал на церемонию Дня памяти Холокоста из - за подозрительного дрона,20250423T224500Z,https://images.newsru.co.il/l/227/29/2272965.jpg?cb=1745435515,newsru.co.il,Russian,Israel,SECURITY_SERVICES,Security and law enforcement services
https://www.cnews.ru/news/top/2025-04-23_arestovan_vtoroj_figurant,,Арестован глава департамента цифрового развития и защиты информации Росгвардии по делу о мошенничестве с ИТ - проектами,20250423T111500Z,https://static.cnews.ru/img/news/2025/04/23/rg_700.jpg,cnews.ru,Russian,Russia,SECURITY_SERVICES,Security and law enforcement services
